locus	gene_name	gene_function	gene_product	synonyms	regulon	operon	sigma_factor	regulator	regulatory_mechanism	regulation_sign	metabolite	metabolite_sign	annotation
BSU13020	ykgA	survival of salt and ethanol  stresses	unknown	ykgA	SigA|SigB|	ykgAB	sigB|						putative aminohydrolase
BSU34930	hisZ	translation	histidyl-tRNA synthetase	hisZ	YlxR|	Op90		*HisR*|	silico-TF+M|	NaN|	Histidine|	1|	histidyl-tRNA synthetase component of ATP phophoribosyltransferase
BSU22870	fni	MEP pathway of isoprenoid biosynthesis	isopentenyl diphosphate isomerase	fni|ypgA|idi									isopentenyl diphosphate isomerase
new_2041228_2041329_c	S700		intergenic region	S700
BSU12250	yjkB	unknown	[SW|ABC transporter ](ATP-binding protein)	yjkB									putative phosphate ABC transporter (ATP-binding protein)
new_1522479_1523083_c	S528	The antisense RNA of S1437	3'UTR of rnjA	S528
BSU36840	atpH	ATP synthesis	ATP synthase (subunit delta)	atpH	stringent response|	Op32		stringent response|	Nan|	-1|	NaN|	nan|	"ATP synthase (subunit delta, component F1)"
BSU32710	sufC	synthesis of Fe-S clusters	ABC transporter (ATP-binding protein)	sufC|yurY	SigL|SigA|								"sulfur mobilizing ABC protein, ATPase"
BSU31600	mrpA	sodium export	Na<sup>+</sup>/H<sup>+</sup> antiporter subunit	mrpA|yufT|shaA|ntrA									Na+/H+ antiporter
new_1674154_1674258	S580		intergenic region	S580
new_3951938_3952042	S1479		5'UTR of ywzH	S1479
BSU27140	oatA	resistance to lysozyme	O-acetyl transferase	oatA|yrhL	SigV|		sigV|						peptidoglycan O-acetyltransferase
new_1045199_1045317	S341		intergenic region	S341
BSU32030	bioYB	unknown	putative S protein of an [SW|ECF transporter]	yuiG				BirA|	TF+P+M|	NaN|	Biotin|	1|	putative biotin transporter
BSU_misc_RNA_16	X.12	control of [[gene|5FD89F65E481CDC33B10A58C12C3168B929917ED]]-[[gene|5001019AD87FEF7D7A920D570C1053D476F7F20C]] expression		ykkC riboswitch|BSU_misc_RNA_16									ykkC-yxkD
BSU23930	yqjC	unknown	unknown	yqjC	SigA|SigG|								putative lyase
BSU09700	yheJ	control of [[gene|67C0C9EA17EF953554D3D57CD0D285246F50C1AD]]-[[gene|9B2766D2F8892AA17DB480216570C81C33355C3B]] expression	leader peptide	bmrB|yheJ				AbrB|	TF|	-1|	 @|	nan|	"hypothetical protein,"
BSU35270	cccB	respiration	cytochrome c551	cccB									cytochrome c551
BSU22250	yppG	protection of the spore	spore coat protein	yppG	SigE|		sigK|						"conserved hypothetical protein, methionine-glutamine-rich protein"
BSU37440	ywhL	unknown	unknown	ywhL									conserved hypothetical protein
new_2592930_2593257_c	S943	The antisense RNA of S1444	intergenic region	S943
BSU14610	pdhD	"links glycolysis and TCA cycle, enzyme in TCA cycle"	dihydrolipoamide dehydrogenase E3 subunit of both pyruvate dehydrogenase and 2-oxoglutarate dehydrogenase complexes	pdhD|citL	SigA|SpoIIID|stringent response|	pdhABCD	sigA|	stringent response|	Nan|	-1|	NaN|	nan|	dihydrolipoamide dehydrogenase E3 subunit of both pyruvate dehydrogenase and 2-oxoglutarate dehydrogenase complexes
BSU02130	glpQ	"glycerol-3-phosphate utilization, degradation of wall teichoic acid during phosphate starvation"	glycerolphosphate diester phosphodiesterase	glpQ|ybeD	CcpA|	glpTQ	sigA|	PhoP|GlpP|CcpA|	TF-TC|P-AT+PTS|TF+PP+M|	1|1|-1|	"phosphate|Glycerol-3-phosphate|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	-1|1|1 1|	glycerophosphoryl diester phosphodiesterase
BSU06078	ydzW.4	unknown	unknown	ydzW/5									"putative phosphomannomutase, internal part of YdzW"
BSU39430	deoR	regulation of deoxyribonucleotide utilization	transcriptional repressor	deoR|yxxC		deoR-dra-nupC-pdp							transcriptional regulator
BSU04000	ycsA	unknown	putative tartrate dehydrogenase	ycsA									putative tartrate dehydrogenase
BSU18990	yobK	inhibition of the cytotoxic activity of [[protein|D24F5B473B9CFAD960D877A8BA593939012177E2]]	antitoxin	yobK									putative phage protein
BSU00490	spoVG	"cell division, control of sporulation initiation"	negative effector of asymetric septation	spoVG	Fnr|AbrB|	spoVG	sigH|	SinR|AbrB|CodY|	TF|TF|TF+M|	-1|-1|NaN|	nan| @|GTP isoleucine valine|	nan|nan|1 1 1|	regulator required for spore cortex synthesis (stage V sporulation)
BSU37490	speB	"spermidine, polyamine biosynthesis"	agmatinase	speB|ywhG	SigA|	speE-speB	sigA|						agmatinase
BSU36950	ywlC	tRNA modification	L-threonylcarbamoyl-AMP synthase	tsaC|ipc-29d|ywlC				DnaA|	TF|	-1|	 @|	nan|	"putative ribosome maturation factor, RNA binding protein"
BSU06940	yesL	unknown	unknown	yesL	SigE|CcpA|		sigH|						putative permease
BSU34630	mdxR	probably regulation of starch and maltodextrin utilization	transcriptional regulator ([SW|LacI family])	yvdE|mdxR		Op172	sigK|						transcriptional activator of the maltodextrin operon (LacI family)
BSU24720	comGB	"genetic competence, DNA uptake"	DNA transport machinery	comGB	SigB|NusA|SigF|	comGABCDEFG-yqzE	sigA|	ComK|ComZ|	TF|TF|	1|-1|	 @| @|	nan|nan|	membrane platform component of the DNA transport machinery
BSU34600	mdxF	maltodextrin utilization	"maltodextrin ABC transporter, permease"	mdxF|yvdH		Op172	sigK|sigE|	*MdxR*|	silico-TF+M|	NaN|	unk|	nan|	maltodextrin ABC transport system (permease)
BSU02010	ybdK	unknown	two-component sensor kinase	ybdK	SigM|ComK|	ybdK		ComK|	TF|	1|	 @|	nan|	two-component sensor histidine kinase [YbdJ]
new_4167085_4167598_c	S1561	The antisense RNA of arfM	intergenic region	S1561
BSU18790	yoaZ	unknown	unknown	yoaZ									putative factor of the oxidative stress response
BSU26970	adhB	unknown	unknown	adhB	SigG|	yraGF-adhB-yraED	sigG|						putative oxidoreductase
new_299_1067_c	S4	The antisense RNA of narK	independent transcript	S4
BSU07720	yflD	unknown	unknown	yflD	SigB|AbrB|								hypothetical protein
BSU23110	resE	regulation of aerobic and anaerobic respiration	two-component sensor kinase	resE|ypxE	CcpA|	resABCDE	sigA|	ResD|PhoP|CcpA|	TF-TC|TF-TC|TF+PP+M|	1|1|-1|	"Menaquinone|phosphate|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1|-1|1 1|	two-component sensor histidine kinase
new_2367761_2367905_c	S856		5'UTR of ypiA	S856
BSU37750	ywfA	unknown	unknown	ywfA|ipa-79d									putative efflux transporter
BSU24270	dxs	"biosynthesis of thiamine, MEP pathway of isoprenoid biosynthesis"	1-deoxyxylulose-5-phosphate synthase	dxs|yqiE	stringent response|			stringent response|	Nan|	-1|	NaN|	nan|	1-deoxyxylulose-5-phosphate synthase
BSU38890	yxjN	unknown	unknown	yxjN									putative integral inner membrane protein
BSU39110	deaD	RNA helicase	DEAD-box RNA helicase	deaD|yxiN									ATP-dependent RNA helicase
BSU28610	yshA	control of Z-ring formation	"Z-ring-associated protein, member of the [SW|divisome]"	zapA|yshA									conserved hypothetical protein
BSU02540	ycbK	unknown	unknown	ycbK	T-box|	rtpA-ycbK	sigA|	T-box-TRP|TRAP|	RNA switch|RNA-BAP|	1|-1|	tRNAtrp|Tryptophan|	-1|1|	putative efflux transporter
BSU23740	yqjU	unknown	unknown	yqjU									hypothetical protein
BSU09450	yhdF	unknown	unknown	yhdF	DegU|CitR|	yhdF	sigB|						putative NAD(P)-dependent dehydrogenase
BSU41060	rpmH	translation	ribosomal protein L34	rpmH	SigA|	rpmH	sigA|sigA|						ribosomal protein L34
BSU34770	yvcJ	required for the expression of late competence genes	GTPase	yvcJ	ResD|SigK|CcpA|								putative ATPase/kinase
BSU23820	yqjM	reduction of double bonds of nonsaturated aldehydes	NADPH-dependent flavin oxidoreductase	yqjM									NADPH-dependent flavin oxidoreductase
BSU39590	yxeD	unknown	unknown	yxeD	AbrB|	yxeD	sigG|sigE|	AbrB|SpoVT|	TF|TF|	-1|1|	 @|nan|	nan|nan|	conserved hypothetical protein
BSU01640	ybbB	regulation of iron acquisition	transcription activator ([SW|AraC family])	btr|ybbB|yzbC		ybbB		Fur|	TF+M|	-1|	Iron|	1|	putative transcriptional regulator (AraC/XylS family)
BSU38420	sacY	regulation of sucrose utilization	transcriptional antiterminator	sacY|ipa-13r|sacS	SacY|	sacXY	sigA|	SacY|SacT|DegU|	P-AT+PTS|P-AT+PTS|TF-TC|	1|1|1|	Sucrose|Sucrose|unk|	1|1|-1|	transcriptional antiterminator
BSU18080	yneT	unknown	unknown	yneT									putative CoA-binding protein
new_1313663_1313744_c	S453		5'UTR of yjnA	S453
BSU33940	gapA	catabolic enzyme in glycolysis	glyceraldehyde 3-phosphate dehydrogenase	gapA	CggR|	cggR-gapA-pgk-tpiA-pgm-eno	sigA|	CggR|	TF+M|	-1|	"D-fructose-1,6-bisphosphate|"	-1|	glyceraldehyde-3-phosphate dehydrogenase
BSU23320	ypzC	unknown	unknown	ypzC									hypothetical protein
BSU17670	cotU	resistance of the spore	outer spore coat protein	cotU|ynzH	SigK|		sigK|	GerR|GerE|	TF|TF|	1|1|	 @| @|	nan|nan|	spore coat protein
new_496980_497767	S149	The antisense RNA of pbpG	5'UTR of dctS	S149
BSU05860	gmuE	glucomannan utilization	mannose kinase	gmuE|ydhR	SigF|AbrB|	Op158	sigA|	GmuR|CcpA|AbrB|	TF+M|TF+PP+M|TF|	-1|-1|1|	"Glucomannan|D-fructose-1,6-bisphosphate Glucose-6-Phosphate| @|"	-1|1 1|nan|	putative carbohydrate kinase
BSU22090	kdgT	utilization of galacturonic acid	2-keto-3-deoxygluconate permease	kdgT	CcpA|	kdgRKAT	sigA|	KdgR|CcpA|	TF+M|TF+PP+M|	-1|-1|	"2-keto-3-deoxygluconate|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	-1|1 1|	2-keto-3-deoxygluconate permease
BSU16210	fliF	movement and chemotaxis	flagellar basal-body M-ring protein	fliF	DegU|	fla-che	sigD|sigA|	Spo0A|CodY|	TF+PP|TF+M|	-1|-1|	nan|GTP isoleucine valine|	nan|1 1 1|	flagellar basal-body M-ring protein
BSU30710	ythA	respiration	"cytochrome bd2, menaquinol oxidase (7:1 protons)"	ythA		Op39	sigG|						putative cytochrome d oxidase subunit
BSU36030	ywrK	unknown	unknown	ywrK			sigK|						putative Na+/H+ antiporter
BSU18760	yoaU	unknown	transcriptional regulator ([SW|LysR family])	yoaU									putative transcriptional regulator (LysR family)
new_2037498_2037600_c	S698		3'UTR of oxdD	S698
BSU10920	yitA	sulfate reduction and activation	sulfate adenylyltransferase	yitA	SigK|	yitBA-yisZ	sigK|						putative sulfate adenylyltransferase
BSU39510	yxeL	utilization and detoxification of S-(2-succino)cysteine	S-(2-succino)cysteine N-acetyltransferase	snaB|yxeL		yxeKLMNOPQ	sigA|	CymR|Spx|	TF+P+M|TF+S|	-1|-1|	O-acetyl-L-serine|Thiol_specific_oxidative_stress::stress|	-1|1|	putative acetyltransferase
new_2836807_2836908_c	S1050		intergenic region	S1050
new_4109864_4110916_c	S1539	The antisense RNA of ywgA	3'UTR of yxaB	S1539
BSU12470	yjqA	unknown	unknown	yjqA									"conserved hypothetical protein, PBSX phage"
BSU07140	yetF	unknown	unknown	yetF	SigF|		sigF|						conserved hypothetical protein
BSU00320	yaaT	"control of Rnase Y activity, see Targets of the Y complex"	subunit of the regulatory iron-sulfur containing [[protein|EE52DFA35B935E551871D079A9BE877DB2001A3B]]-[[protein|6C9A092F38739A3759793EF8B496569CD02C2E3F]]-[[protein|EBD15C174A03B7FCDFFE4C5DB5D86E93F1B9CAC4]] complex	yaaT|ricT									conserved hypothetical protein
BSU01870	ybcH	unknown	unknown	ybcH									hypothetical protein
BSU00040	recF	[[category|SW 3.1.5]]	promoter of [[protein|A44D4677FB70BE8F554BF1001A500F817C7DA95F]] DNA repair center assembly	recF	SigA|	yaaA-recF-yaaB-gyrB	sigA|						DNA repair and genetic recombination factor
BSU30950	glgA	glycogen biosynthesis	glycogen synthase (ADPGlc)	glgA	SigE|	glgBCDAP	sigE|sigH|						bacterial glycogen (starch) synthase
BSU15160	pbpB	"septation, cell division"	"penicillin-binding protein 2B, member of the [SW|divisome]"	pbpB									penicillin-binding protein 2B
BSU15980	ffh	presecretory protein translocation	signal recognition particle (SRP) component	ffh	SigA|	ylxM-ffh	sigA|						signal recognition particle-like (SRP)GTPase
BSU36090	ywrE	unknown	unknown	ywrE	SigW|	ywrE	sigW|						conserved hypothetical protein
BSU28290	ilvC	biosynthesis of branched-chain amino acids	"ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate, 2-acetolactate)"	ilvC	T-box|	ilvBHC-leuABCD	sigA|	TnrA|CodY|CcpA|T-box-LEU|	TF+P+M|TF+M|TF+PP+M|RNA switch|	-1|-1|1|1|	"Glutamine|GTP isoleucine valine|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|tRNAleu|"	-1|1 1 1|1 1|-1|	acetohydroxy-acid isomeroreductase
BSU09130	tcyP	cystine and diaminopimelate uptake	cystine and diaminopimelate transporter	tcyP|yhcL	CymR|	yhcL	sigA|	CymR|	TF+P+M|	-1|	O-acetyl-L-serine|	-1|	sodium-cystine symporter
BSU01070	rpoB	[SW|transcription]	RNA polymerase beta subunit	rpoB	SigX|stringent response|	rpoB	sigA|	stringent response|	Nan|	-1|	NaN|	nan|	RNA polymerase (beta subunit)
BSU02590	ycbP	unknown	unknown	ycbP	SigB|		sigB|						putative inner integral membrane protein
new_2152853_2153170_c	S759	The antisense RNA of bacE	intergenic region	S759
BSU11080	yitQ	resistance to [[protein|330CB6A25181F7AFD3C63F73CA21A3428882D100]]	anti-toxin	yitQ									hypothetical protein
new_1717808_1717932	S586		5'UTR of rpsB	S586
new_339807_339955_c	S111		independent transcript	S111
BSU16680	rpsO	translation	ribosomal protein S15 (BS18)	rpsO	stringent response|			stringent response|	Nan|	-1|	NaN|	nan|	ribosomal protein S15 (BS18)
BSU03810	yclO	acquisition of iron	petrobactin ABC transporter (permease)	fpbO|yclO		yclNOPQ		Fur|	TF+M|	-1|	Iron|	1|	putative iron-siderophore ABC transporter (permease)
BSU09380	nsrR	repression of [[protein|1E829D639BADDC6BDC9B5FB4C97A632A53FDDB24]]-[[protein|EA6790EF30D3DDB9670FE52DFD2C5083AB6A48E1]]-dependent genes in the absence of nitric oxide (NO)	transcriptional repressor	nsrR|yhdE									NO-dependent activator of the ResDE regulon
BSU36520	glnK	regulation of ammonium uptake	nitrogen-regulated PII protein	nrgB|glnK		nrgAB	sigA|	TnrA|	TF+P+M|	1|	Glutamine|	-1|	nitrogen-regulated PII-like regulator protein
new_4154972_4155052_c	S1554		intergenic region	S1554
BSU11960	yjcR	unknown	unknown	yjcR									putative phage-related nucleic acid binding terminase small subunit
BSU03310	nasC	utilization of nitrate	nitrate reductase (catalytic subunit)	nasC|narB|nasBB	Fur|	nasBCDEF	sigA|	TnrA|GlnR|T-O2|	TF+P+M|TF+P+M|Nan|	1|-1|1|	Glutamine|Glutamine|Oxygen|	-1|1|1|	assimilatory nitrate reductase (catalytic subunit)
new_2488815_2488968	S907		independent transcript	S907
BSU29080	mutM	DNA repair	formamidopyrimidine-DNA glycosidase	mutM|ytaE	SigE|								formamidopyrimidine-DNA glycosidase
BSU33300	fhuG	siderophore uptake	hydroxamate siderophore [SW|ABC transporter ](ferrichrome und ferrioxamine) (permease)	fhuG	Fur|			Fur|	TF+M|	-1|	Iron|	1|	ferrichrome ABC transporter (permease)
BSU04570	murF	peptidoglycan precursor biosynthesis	"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6- diaminopimeloyl-D-alanyl-D-alanine synthetase"	murF|ydbQ	TnrA|SigV|	Op210	sigM|						"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate-D-alanyl-D-alanine ligase"
BSU34400	padC	resistance to salicylic acid	phenolic acid decarboxylase	padC|pad|yveH	FruR|PadR|			PadR|	TF+M|	-1|	Phenolic_acids:stress|	-1|	phenolic acid decarboxylase
BSU09290	glpK	glycerol utilization	glycerol kinase	glpK	AbrB|	glpFK	sigE|sigA|	GlpP|CcpA|AbrB|	P-AT+PTS|TF+PP+M|TF|	1|-1|1|	"Glycerol-3-phosphate|D-fructose-1,6-bisphosphate Glucose-6-Phosphate| @|"	1|1 1|nan|	glycerol kinase
BSU25480	grpE	control of [[protein|30E0AAABB803E577D0D9FBAEF9031319CABD3D89]] activity	heat-shock protein	grpE	SigA|	lepA-hemN-hrcA-grpE-dnaKJ-yqeTUV	sigA|	HrcA|ArfM|	TF+HrcA unstability|TF|	-1|NaN|	 @| @|	nan|nan|	nucleotide exchange factor for DnaK activity
new_2404091_2404172_c	S870		5'UTR of ypbH	S870
BSU14170	ykuP	electron transfer	flavodoxin	ykuP	Fur|	ykuNOP	sigA|	Fur|	TF+M|	-1|	Iron|	1|	short-chain flavodoxin
BSU13940	ykwB	unknown	unknown	ykwB									putative acetyltransferase
new_159779_160673	S63	The antisense RNA of spsE	intergenic region	S63
BSU36490	ywoC	unknown	unknown	ywoC	YtrA|		sigG|	YtrA|	TF-M|	-1|	Ramoplanin::stress|	-1|	putative hydrolase
BSU02140	glpT	glycerol-3-phosphate uptake	glycerol-3-phosphate permease	glpT|ybeE	CcpA|	glpTQ	sigA|	GlpP|CcpA|	P-AT+PTS|TF+PP+M|	1|-1|	"Glycerol-3-phosphate|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1|1 1|	glycerol-3-phosphate permease
BSU15370	ylmD	quality control to maintain composition and integrity of peptidoglycan	peptidoglycan-editing factor	ylmD|pgeF	Spo0A|			Spo0A|	TF+PP|	-1|	nan|	nan|	conserved hypothetical protein
BSU14970	ylbD	protection of the spore	spore coat protein	ylbD	SigK|	ylbDE	sigK|						conserved hypothetical protein
new_1530423_1530536	S532		intergenic region	S532
BSU33930	pgk	enzyme in glycolysis/ gluconeogenesis	phosphoglycerate kinase	pgk	CggR|	cggR-gapA-pgk-tpiA-pgm-eno	sigA|	CggR|	TF+M|	-1|	"D-fructose-1,6-bisphosphate|"	-1|	phosphoglycerate kinase
BSU25400	yqeY	unknown	unknown	yqeY									conserved hypothetical protein
BSU20980	yonV	unknown	unknown	yonV									"conserved hypothetical protein, phage SPbeta"
BSU39450	yxeR	ethanolamine uptake/ export	ethanolamine transporter in/out via proton symport	yxeR									putative ethanolamine transporter
BSU25960	yqcB	unknown	unknown	yqcB									"hypothetical protein, skin element"
BSU27130	rsiV	control of [[protein|D04629D798E458AD538809BB2B150B7FA81D2C7E]] activity	anti-sigma factor to [[protein|D04629D798E458AD538809BB2B150B7FA81D2C7E]]	rsiV|yrhM	SigV|		sigV|						anti-sigma(V) factor
BSU22310	recU	DNA repair/ recombination  and [SW|chromosome segregation]	Holliday junction resolvase	recU|prfA|yppB|jopB	SigA|		sigM|						Holliday junction resolvase
BSU34820	bmrA	multiple antibiotic resistance	multidrug ABC transporter (ATP-binding protein)	bmrA|yvcC	SigA|								efflux transporter (ATP-binding and permease protein)
BSU12390	uxaA	hexuronate utilization	altronate hydrolase	uxaA|yjmJ	CodY|SigF|LexA|CcpA|	uxaC-yjmBCD-uxuA-yjmF-exuTR-uxaBA	sigE|sigA|	ExuR|CcpA|SpoIIID|	TF+M|TF+PP+M|TF|	-1|-1|-1|	"Galacturonate|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|nan|"	-1|1 1|nan|	altronate hydrolase
BSU12690	xkdP	unknown	unknown	xkdP	Xpf|								putative PBSX prophage murein binding protein
new_2393238_2393421	S865	The antisense RNA of pdxK	5'UTR of ypzI	S865
new_2709471_2710001_c	S990		intergenic region	S990
new_967323_967934	S312	The antisense RNA of S1464	intergenic region	S312
BSU08590	yfhM	survival of ethanol stress	epoxide hydrolase	yfhM	SigB|	yfhKLM	sigW|sigB|	SpoVT|	TF|	1|	nan|	nan|	putative hydrolase
BSU29940	ytlR	unknown	unknown	ytlR	SigD|		sigK|						putative phospholipid kinase
new_3170472_3171891	S1180	The antisense RNA of S1465	independent transcript	S1180
new_2362339_2362406_c	S853		intergenic region	S853
BSU39360	hutU	histidine utilization	urocanase	hutU	SigA|Fnr|CcpA|	hutPHUIGM	sigA|	HutP|CodY|CcpA|	P-AT+M|TF+M|TF+PP+M|	1|-1|-1|	"Histidine|GTP isoleucine valine|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1|1 1 1|1 1|	urocanase
new_3566276_3566357_c	S1321		intergenic region	S1321
new_2564914_2565669	S929	The antisense RNA of ywcI	intergenic region	S929
new_4134175_4134435_c	S1547		intergenic region	S1547
BSU10650	sbcC	DNA inter-strand cross-link repair	DNA exonuclease	sbcC|yirY	SigA|	sbcD-yirY-yisB		ComK|	TF|	1|	 @|	nan|	DNA ATP-dependent repair enzyme
BSU03700	gerKA	"germination response to the combination of glucose, fructose, aspartate, and KCl"	nutrient receptor	gerKA	SigG|	gerKACB	sigG|	SpoVT|	TF|	-1|	nan|	nan|	spore germination receptor subunit
BSU06033	ydzT	unknown	unknown	ydzT/1									"hypothetical protein, putative integrase (fragment), C-terminal part of YdzT"
BSU29330	ytmO	utilization of S-methyl-cysteine	monooxygenase	cmoO|ytmO		ytmIJKLMNO-ytnIJ-ribR-ytnLM	sigA|	YtlI|CymR|Spx|	TF+M|TF+P+M|TF+S|	1|-1|-1|	unk|O-acetyl-L-serine|Thiol_specific_oxidative_stress::stress|	1|-1|1|	putative monooxygenase
new_728319_728449_c	S236		5'UTR of opuE	S236
BSU19080	yobT	unknown	unknown	yobT									putative metal-dependent hydrolase
new_4176526_4176840	S1567		3'UTR of yybJ	S1567
BSU10200	yhfE	unknown	unknown	yhfE									putative endoglucanase
BSU04420	ydbC	unknown	unknown	ydbC									conserved hypothetical protein
new_1784630_1785132	S617		intergenic region	S617
BSU08990	yhbI	unknown	unknown	yhbI		yhbIJ-yhcABCDEFGHI		ComK|	TF|	1|	 @|	nan|	putative transcriptional regulator (MarR family)
BSU26890	csn	chitin degradation	chitosanase	csn	AbrB|			AbrB|	TF|	-1|	 @|	nan|	chitosanase
BSU12940	dppC	uptake of dipeptides	dipeptide ABC transporter (permease)	dppC|dciAC	CodY|	dppABCDE	sigA|	CodY|AbrB|	TF+M|TF|	-1|-1|	GTP isoleucine valine| @|	1 1 1|nan|	dipeptide ABC transporter (permease)
BSU09560	cueR	unknown	transcriptional regulator ([SW|MerR family])	yhdQ|cueR				CodY|	TF+M|	NaN|	GTP isoleucine valine|	1 1 1|	copper efflux transcriptional regulator
new_101212_101289	S44		intergenic region	S44
new_2273801_2274302	S811	The antisense RNA of ywzA	independent transcript	S811
new_3246432_3246527	S1210		5'UTR of mrpA	S1210
BSU02870	adcB	zinc uptake	ABC transporter for zinc (permease)	znuB|yceA		ycdHI-yceA	sigA|	Zur|	TF+M|	-1|	Zinc|	1|	high affinity Zn(II) ABC transporter (permease)
BSU04830	sacV	excision of the conjugative transposon ICEBs1 from the trnS-leu2 locus	excisionase	xis|ydzC| sacV				ImmR|	TF|	-1|	 @|	nan|	transcriptional regulator
new_3605398_3606736_c	S1338	The antisense RNA of ywcC	3'UTR of yvlD	S1338
BSU22940	prsW	control of [SW|SigW] activity	protease	prsW|ypdC									protease required for RsiW anti-sigma(W) degradation
BSU26920	yraJ	unknown	unknown	yraJ									conserved hypothetical protein
BSU04120	yczI	unknown	unknown	yczI									hypothetical protein
BSU03982	mtlF	mannitol uptake and phosphorylation	"mannitol-specific [[category|SW 1.2.2|PTS]], EIIA"	mtlF	SigA|	Op144		MtlR|CcpA|	TF+PTS|TF+PP+M|	1|NaN|	"Mannitol|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	1|1 1|	phosphotransferase system (PTS) mannitol-specific enzyme IIA component
BSU17020	ymcA	"control of Rnase Y activity, see Targets of the Y complex"	subunit of the regulatory iron-sulfur containing [[protein|EE52DFA35B935E551871D079A9BE877DB2001A3B]]-[[protein|6C9A092F38739A3759793EF8B496569CD02C2E3F]]-[[protein|EBD15C174A03B7FCDFFE4C5DB5D86E93F1B9CAC4]] complex	ymcA|ricA				Fur|	TF+M|	NaN|	Iron|	1|	master regulator for biofilm formation
BSU29820	ytpR	unknown	unknown	ytpR	SigA|			Spx|	TF+S|	1|	Thiol_specific_oxidative_stress::stress|	1|	putative protein with RNA binding domain
BSU40380	yycI	control of cell wall metabolism	negative effector of [[protein|E88978809272FAC2520DB4ABCA0554F8028F3451]]	walI|yycI									regulator of YycFG
BSU22410	panD	biosynthesis of coenzyme A	aspartate 1-decarboxylase	panD									aspartate 1-decarboxylase
BSU08500	yfhE	survival of stress conditions and low temperatures	unknown	yfhE	GabR|SigF|	yfhFED	sigB|sigG|sigF|						hypothetical protein
BSU29670	tyrS	translation	tyrosyl-tRNA synthetase (major)	tyrS	AraR|CcpA|T-box|	tyrS	sigA|	T-box-TYR|T-box-TYR|	RNA switch|RNA switch|	1|1|	tRNAtyr|tRNAtyr|	-1|-1|	tyrosyl-tRNA synthetase
BSU23350	ypzD	unknown	unknown	ypzD									conserved hypothetical protein
BSU33050	gerAA	germination response to L-alanine	nutrient receptor	gerAA	SigF|	gerAABC	sigG|sigF|	SpoVT|	TF|	-1|	nan|	nan|	component of the GerA germination receptor
BSU18230	yngG	"mother cell metabolism, leucine utilization"	3-hydroxy-3-methylglutaryl-coenzyme A (HMG-CoA) lyase	yngG	SigA|SigE|	yngJIHGFE	sigE|	SpoIIID|CcpA|	TF|TF+PP+M|	-1|NaN|	"nan|D-fructose-1,6-bisphosphate Glucose-6-Phosphate|"	nan|1 1|	putative hydroxymethylglutaryl-CoA lyase
BSU00270	yaaO	control of Efp modification	putative arginine decarboxylase	yaaO	SigW|								putative lysine decarboxylase
new_2791968_2792100_c	S1035		5'UTR of greA	S1035
new_1446289_1447115_c	S498	The antisense RNA of ywbF	independent transcript	S498
BSU07350	yfmT	unknown	vanillin dehydrogenase	yfmT	SigD|	yfmTS	sigD|						putative aldehyde dehydrogenase
BSU17230	pksS	polyketide synthesis	hydroxylase of the polyketide produced by the pks cluster	pksS									cytochrome P450 of bacillaene metabolism
BSU13390	ykoT	unknown	unknown	ykoT	SinR|SigG|		sigG|						putative glycosyltransferase
new_3108426_3108524_c	S1161		5'UTR of yttB	S1161
BSU10009	yhzF	unknown	unknown	yhzF									hypothetical protein
BSU27190	yrzI	unknown	unknown	yrzI	LiaR|AbrB|			AbrB|	TF|	-1|	 @|	nan|	conserved hypothetical protein
BSU40960	parB	chromosome positioning before asymmetric septation	centromer-binding protein	parB|spo0J|spo0JB	Spo0A|			Spo0A|	TF+PP|	-1|	nan|	nan|	site-specific DNA-binding protein
new_1938860_1938924	S674		5'UTR of alsT	S674
new_744739_744850	S243		intergenic region	S243
BSU13220	thiW	thiamine uptake	thiamine [SW|ECF transporter] (ATP-binding protein)	thiW|ykoD	Thi-box|		sigK|	Thi-box|	riboswitch|	-1|	TPP|	-1|	thiamine ABC transporter (ATP-binding protein)
new_2678362_2678577_c	S976	control of txpA toxin expressionThe antisense RNA of ywaF	antitoxin RNA	ratA|S976
new_3788004_3788274_c	S1426		5'UTR of atpI	S1426
BSU27100	yrhP	unknown	unknown	yrhP									putative efflux transporter
BSU10450	yhjB	unknown	unknown	yhjB	SigA|Abh|CodY|	yhjCB		ComK|CodY|	TF|TF+M|	1|-1|	 @|GTP isoleucine valine|	nan|1 1 1|	putative Na+/metabolite cotransporter
new_2329736_2330041_c	S838	The antisense RNA of ywaD	intergenic region	S838
